RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31
102001,0,United States,country,,1134.9818895705255,1140.1519878710146,1145.7976961067775,1150.422351162155,1154.5438505717684,1158.4274226532846,1162.8083582693312,1167.7154198321953,1172.8312518503626,1177.8282861345228,1182.5113166000597,1186.824745452218,1190.3064399313057,1193.320727844564,1195.1770122456999,1198.4627984281524,1201.9600617217432,1206.5170916607985,1210.1277509107065,1213.8930412218667,1217.3958267800685,1221.0947700174888,1224.352096819347,1227.5068956337332,1232.0795688331077,1237.3927838984127,1243.981260638871,1248.7892526719272,1253.4563907549702,1257.1668787280912,1261.0594974448181,1264.3726204640589,1268.8690475248636,1272.5818994832034,1277.0431984853742,1281.406569876073,1286.2501433888215,1291.1327250180896,1295.1697619429879,1299.3864783956374,1302.92870733135,1307.1601229337753,1311.6147102066943,1316.4999176220006,1320.5235202135143,1325.5380919680176,1330.974174025957,1336.3521067686252,1340.30479694954,1343.5867718414577,1347.6244475716087,1352.1857646506644,1357.365866251885,1362.2996338838789,1367.1766313911135,1371.974767151916,1376.9135510411725,1381.449420290215,1385.4144592683535,1389.5490965034926,1394.3372933275102,1399.538087019494,1403.7603521405167,1401.8896440353606,1398.032972194189,1394.6889690428823,1395.498654664053,1395.8907567063754,1396.8239455457644,1400.296936181666,1405.7863767117676,1412.9136729928136,1422.4575600659477,1432.829827316261,1444.374305538232,1459.1661885109704,1478.4623844500225,1501.0446659032975,1524.257458691363,1549.355006307054,1574.3815188529504,1595.7944083632208,1614.1544158560441,1630.3136474633336,1643.8577966346525,1657.282250174317,1668.4874557797211,1683.296496030509,1696.4145415793055,1710.002468141526,1720.0006097944602,1727.2366782244378,1732.3323571872286,1736.4010193659003,1740.8779100785007,1746.2379644118905,1751.5606065608677,1756.1555098759325,1763.2357285896933,1768.0325676555008,1773.0519577138652,1774.0836266875017,1777.5824717306746,1781.1219099813732,1785.15738321139,1789.815097536144,1794.1839098512685,1799.131674294021,1804.1756552162487,1808.946437732729,1812.7059616245872,1816.8259600634622,1821.488115645929,1826.9039792290696,1831.8113044210404,1836.0186184834306,1840.1867878114526,1844.1020564458743,1849.3993986573803,1853.86581101297,1858.9947332062577,1863.5771732360263,1867.6377353188427,1871.1654624359194,1873.9180266046656,1877.425448448161,1880.4506416371469,1884.075873353369,1887.4915802122375,1890.6736225638842,1892.4951910788943,1894.108252580423,1894.8125081183855
394913,1,"New York, NY",msa,NY,2133.1737897678845,2147.244646971991,2160.143307274817,2168.9604205361697,2172.700494274632,2176.452456383252,2181.2858128602693,2189.3412677339024,2197.2534350294327,2204.851064235191,2208.7037543238885,2213.3520173108864,2216.4496412174067,2219.83484562835,2220.604639563879,2222.34329885904,2225.434431691935,2229.636929511887,2235.4772086442727,2238.147434935764,2242.3589986732118,2246.590249029647,2255.659784616885,2258.9053545136217,2261.7675582324187,2261.4558732308883,2265.238442085852,2268.091927982144,2273.265874259508,2275.899126939831,2278.963554391774,2280.1086587263385,2283.120586813495,2282.578425800734,2283.040731435404,2285.0103509209484,2290.055096330325,2294.80822691912,2299.4038026575513,2306.2826004780827,2311.1106516573714,2315.1267005619347,2319.3992182968677,2326.662990410653,2333.0680612445212,2337.8740333555443,2344.318327959998,2349.863742477128,2356.081690138023,2362.0635917642,2367.9238331143497,2372.6519982884365,2377.986684250603,2385.2213289221336,2392.0051255264602,2398.2359213864975,2404.22850360612,2413.4649671511697,2420.408498606833,2428.7843862756877,2435.5953761208148,2443.729407948506,,,,,,,,2225.9089010453076,2214.121036238651,2213.3059777975,2216.7354563354666,2224.184817721062,2234.858699276499,2251.956473632324,2280.167781384585,2316.757907607615,2361.9015850880414,2416.194072822332,2472.1291743743272,2521.666309654472,2565.9392679831485,2602.5049229802553,2633.455671737532,2660.0052470204055,2685.5169960667054,2711.8637603620805,2740.2004887025605,2770.17195419951,2797.28022359871,2818.4470440620275,2832.2997084881968,2840.6697157377216,2844.553850225769,2848.957027933582,2856.63011101627,2865.085981440379,2877.2897209884477,2893.010424564305,2906.9940191827222,2914.683410592077,2919.2031356531334,2924.6847707221236,2935.7718278010766,2944.866881266549,2954.0041535274067,2963.6585536225252,2977.1268896541046,2990.517311229013,3002.710593308229,3012.2707485242163,3021.8502099507587,3028.433821252783,3030.8656347574747,3033.1328383099717,3038.211919008431,3048.969118797296,3066.888692044126,3082.9970995142885,3099.5219864306227,3111.094839535333,3121.1387789403325,3130.330737073758,3138.9862877260744,3152.0401265331,3169.9120409840193,3188.00696663587,3202.181320215703,3213.822169252871,3220.4577636174495,3227.97277215317,3232.316443552771
753899,2,"Los Angeles, CA",msa,CA,1745.3837141066995,1754.7179688700944,1765.8146887943765,1776.0492724308012,1784.0775427184703,1791.9626024204242,1801.1657184603534,1811.9135268217942,1824.253215107837,1834.5392307163127,1846.4162895896054,1858.0035389559919,1868.7168507683643,1876.0539510592475,1881.5723435317996,1887.7830112158836,1896.5983279067282,1906.4934764723978,1916.5666142163727,1923.9545024139495,1932.0164984822309,1939.3957691087007,1947.1694358887567,1954.6490607243245,1966.8178964295175,1980.0500482719801,1996.1213282312647,2006.7517837511082,2016.0257594096058,2022.7136347797327,2030.3158633589364,2036.9231088940521,2044.8601713554783,2051.446006246024,2060.2606176629756,2068.6717563612083,2078.4587646461,2088.7811769693267,2094.011466502732,2100.0279431774857,2104.222187104487,2113.5046261019706,2121.7128851139278,2131.513587755567,2138.673256959586,2148.0079859909483,2156.858018321917,2165.2565047347357,2169.130091909933,2172.5436125254278,2178.9703843742036,2187.2957441704393,2197.0419071006418,2203.6718412728364,2210.3170537916285,2216.5006447543224,2223.5674083632493,2229.5921819162263,2234.523348535419,2239.9190595935506,2246.996936460922,2253.8684236505765,2249.3949732214514,2240.935415614851,2232.2846106703532,2224.4264100543396,2219.956798486524,2213.493376323057,2211.668194638083,2215.7518910829217,2222.8202295492542,2228.55891917587,2239.3481031293427,2250.144406322299,2263.456259308224,2276.2645828314007,2295.4282669174017,2324.58996881522,2360.248556342158,2402.952228320903,2440.107633321476,2470.433110575469,2493.804812064963,2519.615069712415,2541.5003113191815,2565.922153071093,2587.0023002303174,2615.8902491566673,2638.338561363656,2656.026225874141,2664.57409698934,2670.060726997238,2674.762277838388,2678.2043338731037,2685.3900725489943,2689.674604706295,2691.9584821039903,2692.9343586432306,2700.1085759921584,2708.869452078078,2715.5229452667713,2717.795752221002,2723.7713592411374,2728.82399802473,2733.3212867015513,2738.64970388369,2741.428637680508,2747.920267574155,2750.9965490302425,2754.141863235144,2755.835005838625,2763.5894186658566,2771.457895733257,2780.058770085667,2788.5514527860887,2794.84219228572,2801.8541123538466,2807.3388419274497,2814.47782758228,2820.38686320528,2837.319389222081,2848.1087420201607,2856.8778909169623,2857.8386286854065,2860.244517290021,2864.318740538634,2867.7650297260957,2873.143237820651,2877.8913896839763,2883.1208268507808,2886.9269029049424,2889.463965684394,2884.813189004322
394463,3,"Chicago, IL",msa,IL,1340.8171459442224,1342.4182417816871,1346.5759480828672,1350.533836754734,1354.8247069226077,1358.0114151693501,1360.6751133449231,1364.5211587928118,1367.7217277454206,1372.217208220536,1376.3086971555313,1381.7751408338897,1385.5454268215706,1388.3211067553254,1390.2988409903412,1391.438279682888,1393.2575678236099,1395.7465812465045,1400.549311934085,1406.3107154537415,1409.0481955782918,1411.9504094763786,1411.6540021736312,1411.2672053744486,1412.8489617594091,1418.4665999027725,1426.3002359689344,1431.9359919395827,1436.2562400689503,1437.7101985791899,1439.000410539852,1438.5209500444446,1442.8109918019402,1444.6470541542978,1448.973275935958,1452.121817967456,1455.929466567559,1459.5110572763022,1460.5617664374518,1462.7919738409084,1465.0965586690802,1470.0177596280023,1474.2606650058806,1476.839731194092,1477.0436005856195,1478.3677020189448,1482.3081440385793,1489.2240204439831,1493.278257923536,1495.745513117106,1498.73696562908,1502.1279963707286,1506.045100367078,1509.2650528162903,1512.726143359683,1518.1625822830256,1523.7843355337986,1529.7253558410973,1533.1341640815988,1534.8596374429828,1538.2077968164535,1542.1969819851658,1546.519522161402,1538.542194697336,1529.6609121335391,1522.100872165508,1519.742040838767,1517.8033688232172,1513.546662340457,1507.999287983831,1504.4620923024959,1505.2628715548021,1506.2300602561554,1510.7556051902723,1516.6215153408784,1531.1822323252704,1546.774772948715,1564.1254958082086,1578.685650689289,1593.2371867585152,1609.3212964416284,1623.5209735605765,1637.9881910410722,1651.3422555515726,1664.1459235312097,1674.2362095606165,1684.446953045247,1696.4542937686722,1709.1919462722842,1719.8703616556447,1731.0626504171155,1740.7445901897531,1751.1980538312548,1761.773997373395,1771.114629160359,1779.1923787222704,1787.1302933281336,1795.9057282885562,1805.3575279194617,1812.1854513283006,1821.3217641834935,1829.4604501645786,1837.9209824368802,1846.9274132803564,1853.434564371396,1860.5048561361182,1867.2268511536197,1877.1381510977005,1885.8672849583088,1894.1206161147284,1900.2507727041052,1907.8197375512364,1913.7467864943173,1921.0124743958465,1927.6040832853087,1935.407234828473,1944.522231455609,1955.7886553981082,1967.507848470855,1978.3236664139968,1985.6019925669018,1995.5799372264526,2006.552214563133,2016.7842193880279,2026.7532103883136,2036.4378178565855,2046.345918592488,2055.1813061592334,2063.850759505933,2070.3540753273446,2076.7710167267414,2082.4010151354623,2091.2262503221677
394514,4,"Dallas, TX",msa,TX,1043.3783948249882,1046.8728620837526,1050.618019157624,1056.8183202870148,1061.1865136296185,1066.0780163583806,1070.4750788135561,1074.8717735173068,1079.697582606754,1083.8612218064575,1089.0828370681152,1094.3080564303123,1098.0089707609052,1102.5932317232675,1106.0975363887105,1111.2356120623456,1114.391435529858,1118.4922528792167,1122.047488435673,1126.9908007265938,1131.2490877296136,1136.6543618745468,1139.7949752873476,1143.7639950607256,1149.6506531001469,1154.282499423497,1161.5237623996857,1165.0363278699706,1172.6539299259186,1175.838514207082,1180.1482078961672,1183.358068401195,1187.466229572629,1189.3592714084227,1194.4651490560561,1197.9147217027971,1202.982641858145,1207.1199253284904,1208.7687304823864,1211.820693538905,1212.6217258133506,1217.317620145646,1221.007473709842,1224.1596221772231,1226.5607741232077,1232.3569796017591,1237.216268748932,1243.5670879232607,1245.890231385781,1248.0830056072227,1252.313801508932,1256.7603278668146,1261.2544035889155,1264.5874342441514,1268.1311278839994,1272.1771223453793,1276.330658549097,1278.556163488963,1280.2249637754992,1281.2369519068786,1284.0431584333232,1287.4803424241138,1293.3504485765754,1291.8933762691945,1288.3977550821562,1283.7921591021354,1283.4895225986031,1285.3231210262354,1290.0472757927328,1296.94363810167,1303.9005221143286,1312.9609480436418,1323.058025379863,1334.2773372820727,1343.5548870887856,1358.2252893102009,1376.6395010516437,1399.9815973889126,1424.1927812106385,1450.5844475808412,1475.3909639114725,1496.3991632546015,1515.0815692946524,1532.0354181129687,1546.3112803928177,1558.573406920009,1568.8327141117752,1583.2599542527769,1597.2445922654674,1614.094415614936,1624.3249313314684,1628.016188112805,1627.1436284721879,1623.6704872502346,1623.4958991922992,1624.6329219745958,1627.9367613024035,1630.1871411847467,1636.2279965070752,1634.9893087662942,1635.3960774086477,1629.4832077966971,1630.0754746305474,1629.2146364136927,1629.852446747181,1630.7576604071105,1632.0774519334882,1631.87209512691,1631.4484966601392,1628.1086260840984,1624.7646269875715,1622.5629864394655,1622.9987720201539,1624.4749979482833,1625.425638121829,1626.7004235538343,1626.6458356926266,1627.8992782997814,1627.2153113047366,1627.547791621325,1627.9686184331185,1630.8208502676628,1631.890294148855,1634.0541234447069,1633.0901832021939,1633.2801904142134,1631.8569175432044,1631.7822170617496,1632.6647706294941,1632.7860243764926,1633.3629470049254,1633.4460890445073,1632.977977482009
394692,5,"Houston, TX",msa,TX,1190.7368318892327,1193.3712242536192,1198.157308917197,1200.5141711945191,1202.0323079733544,1204.0987423464094,1206.3170057298244,1210.0744654946284,1211.275075867209,1212.762202456788,1214.1827720437018,1215.0810400618645,1216.7608533063974,1216.6395921778094,1218.6979252280826,1217.895833719553,1216.039141778587,1214.6899696283883,1215.3877720484845,1216.6994205961762,1214.4050031988668,1212.9382101990732,1209.6334534070995,1209.9773693209647,1211.5656019351952,1217.1385730784732,1222.1335868539172,1223.0154464665281,1226.4750113346452,1226.0958229231833,1227.9132013800413,1227.1278066778445,1237.2570212886349,1246.8061301907662,1258.2077530885183,1264.6975226737263,1268.4440004491144,1272.9969428268632,1271.9563720865256,1275.6112378750774,1274.3642312255602,1277.2939323391636,1278.2296026213157,1280.9277393769748,1281.1764852103058,1282.844734668136,1285.394792550277,1285.6833265233,1286.8164175955003,1284.1487067058993,1287.8601908274702,1290.6498917561019,1296.1304482196108,1300.147883267733,1304.178390558618,1307.9788590937083,1309.101350430366,1309.4247006212547,1308.7592651284115,1311.7270064677698,1315.3299286636843,1320.8350039354639,1326.3597099006267,1322.4320691795695,1314.4733802294486,1306.6455597246206,1306.7011675757471,1309.633399333203,1313.3126903815014,1318.8373469417058,1324.6613180558772,1328.9960006612193,1334.7624873574707,1337.6879957484402,1344.245987113057,1354.9730553731706,1372.3443018588937,1393.095987675884,1411.9519056819104,1431.0170927075387,1447.1068504063119,1459.5529994030364,1469.903799909448,1479.1404979414249,1487.3005721711104,1497.347811096066,1504.9627044096133,1515.72596006399,1522.053133290294,1529.6566783127416,1534.1960814353952,1537.4687226985468,1539.5669184823353,1540.9320196695253,1542.3611544095234,1546.096347048377,1551.0196103147448,1557.0902989040153,1564.2713654640095,1566.5006821961922,1570.37089840352,1572.2771845070595,1574.347536796744,1574.1531974171528,1572.9312904517801,1574.1765312235377,1576.774634994126,1580.2396036303387,1583.5852189410643,1585.052779648639,1583.5289680530232,1586.1493033465001,1590.0746816139642,1597.392134403393,1599.529834019445,1602.7578356807594,1605.0756284903223,1609.2497089617805,1611.4558403787046,1612.5855834537497,1613.4029674465223,1614.09632654706,1616.5015175014878,1616.959955553443,1615.9397909963711,1612.560394587164,1613.3358591972358,1614.1713173533867,1616.0062746767333,1615.0187868642147,1614.4158940682864,1613.2877324029628,1611.7892798149985
395209,6,"Washington, DC",msa,VA,1670.2330893267938,1675.0224163201005,1679.4361039653375,1681.5987117299433,1683.7161938189863,1684.9186750551066,1686.3706772349647,1686.763692938404,1691.283522007764,1695.6063858244268,1701.3263180832787,1703.9401836480367,1706.35108019246,1706.879953732444,1708.0017166262312,1708.8137119949392,1711.1337249656146,1712.8671728028191,1715.9590129186738,1720.279692377157,1722.206971438112,1725.0477500111233,1726.3790744851685,1730.3032769502597,1734.473607910221,1741.9721606932897,1747.3870836533613,1752.1210179202985,1753.2148654061805,1756.5818473275783,1758.4683398019645,1760.4803278607005,1764.3372380257035,1767.8231710175703,1770.4464742918235,1772.0532258540354,1774.440296682968,1776.7793928477574,1781.3726743449135,1785.7864973577732,1791.1334630824958,1795.8283352932679,1800.6342041929704,1807.4850477728614,1808.9097288565258,1814.882924825312,1822.3935464606664,1831.048419414254,1834.1200271658618,1837.348963904971,1840.764503139029,1844.8576471120282,1849.8017623650862,1854.343680034792,1859.273427426547,1862.3438432559838,1869.0966814718495,1872.3250289900368,1875.0547470916033,1876.959618144669,1882.7563358870257,1887.8433148414458,1897.186926124749,1892.206153668336,1883.7053772454606,1869.8516699863083,1861.5402601291808,1855.15249753641,1848.130166199611,1842.547292083121,1837.3618243068822,1836.3988562839916,1841.2136904549423,1847.2090536850249,1851.2247025630031,1860.0526918762037,1877.4675810171989,1904.27595546047,1929.6379013961853,1955.1066774797364,1977.9612155382154,2001.2236828798002,2019.8286089124322,2034.350432227113,2041.6942251172684,2050.5168300078863,2059.999660759225,2075.822788761077,2088.7539205590465,2101.643596110897,2111.9385984106098,2118.321286378257,2123.9593802504423,2123.305882177767,2126.271663272971,2129.7110158090477,2137.652931797557,2145.256492266585,2158.1498586714292,2164.5379102994007,2171.1789063022384,2171.582672826295,2178.3141429631164,2185.9270431879513,2194.7141561181706,2205.5485291057994,2215.050262682259,2223.04794744189,2229.145515741981,2236.141251488296,2241.7525249372197,2250.7899703498942,2261.0020420394426,2273.8002512253,2284.556921362899,2292.7715250753467,2299.4462646047023,2305.3178155208775,2311.9859339352556,2318.168421955918,2325.863586383411,2332.3485268433683,2336.3594974177763,2338.6129683981353,2339.3564863675906,2340.1058181850826,2339.0842580518415,2339.5334702143023,2339.850293937877,2340.040246555781,2338.56513497305,2337.0636329578215,2333.4372400236903
394974,7,"Philadelphia, PA",msa,PA,1183.9905255402864,1187.4208569770074,1194.3045111273495,1196.7217062078587,1199.4553637270033,1200.016298674959,1203.323113912978,1206.1470173330083,1209.9119995146605,1212.9476662014079,1213.1489419257418,1214.6609296342906,1214.8013845347634,1219.3370094398283,1221.099163847978,1225.3738656871342,1228.389603632823,1234.4012182413421,1237.2388991882365,1240.114666425944,1241.2209021743383,1243.8321895871693,1249.0820620933732,1253.4297080972158,1257.6309633117364,1259.7658425333618,1263.2057692040405,1266.220498167352,1268.5133564541095,1268.591234020754,1271.1156806833599,1274.5168960660096,1279.5445524552126,1283.1690557882378,1285.7812505606832,1290.990678318281,1294.209764490669,1298.4068473002608,1301.3540543672073,1304.8321472640162,1309.8946161581227,1312.534359067334,1315.5730908554265,1318.6085071215707,1322.8777979328022,1328.6065412195908,1335.0240312779747,1338.5085606736538,1343.2948020603021,1345.1481839371338,1350.1547615002867,1354.6345104022305,1358.5700617658194,1365.0015858390439,1370.5458112972735,1375.7320395353804,1379.5637364476338,1382.729694553002,1385.5045138887135,1389.510260846414,1393.715427781394,1400.1054854724794,1405.5553277496124,1406.1464626788286,1403.5776823201181,1401.9206336683205,1405.8321232063952,1408.087525856526,1412.8936107326251,1417.0034722251978,1422.3997898173068,1426.7260270472977,1433.2461754405574,1439.63483265187,1445.0622470193805,1456.1762579483632,1472.5299734974813,1489.7472144104645,1504.452340528508,1520.9056021629087,1534.2615142741113,1549.2791046389887,1562.996470731057,1581.6800796328623,1594.325626772595,1604.8092495110486,1612.2446328656524,1621.7446166481723,1629.786440848172,1639.3365536320682,1646.9786148572182,1652.3397424790228,1656.4567012113362,1657.7996608567194,1661.5057247281086,1662.6923436280317,1668.4199709833472,1670.73764966399,1680.2518786665191,1685.942448052157,1693.0846743638917,1694.1890959005898,1697.836953024222,1703.1009185682376,1710.9496794605013,1717.6489856113621,1721.1368626013113,1722.5597547119141,1725.628021563209,1733.3868192194232,1740.9662207755534,1747.9876919399326,1753.4852857333783,1759.2633409563953,1761.6212289090058,1765.6738400782824,1769.540865428605,1776.8495014221462,1784.5649344343099,1792.570642605753,1799.2279742869734,1803.8917293549055,1805.5241029403123,1808.659865233143,1812.1993035222688,1817.9971432720736,1825.505482084504,1831.1060786419928,1835.6806743425072,1838.3948251770523,1841.653422152326,1845.8135272253446,1849.2065150237747
394856,8,"Miami, FL",msa,FL,1456.0334921870913,1464.4510747272586,1471.7302028033143,1479.0755130622713,1486.3060248038685,1493.3256008873711,1499.8957216931058,1506.3524227817795,1514.226979137712,1520.2877802922694,1528.878559759067,1535.0288062599252,1540.8756929445356,1544.0453905817897,1546.660579765667,1548.89097997431,1548.5926905110107,1548.9223979601193,1549.6188824406322,1551.049608282691,1553.071114755202,1554.5733448063766,1557.5460562531432,1559.1955837031985,1565.2655598156828,1570.2957661337646,1578.678119214479,1581.8687449813717,1584.7495815655916,1587.7469366525283,1591.864596532079,1597.6651447424847,1601.984508314798,1605.4668724339842,1605.3651504745485,1607.8769399871803,1611.737826704281,1617.0728148494052,1621.3606002150698,1626.2090602523483,1630.5332841638708,1635.840296990972,1640.301870371783,1645.8671121297305,1649.2510192193097,1653.2938292669605,1657.2030694059101,1662.66682039899,1665.20920017228,1666.9848578613198,1668.425181005491,1672.2602123170207,1677.352381943188,1681.6624332166275,1686.1800197974449,1689.012428065773,1694.2593027394935,1699.7228323737793,1706.8823046675252,1712.127514844198,1718.344650777796,1725.0344018789442,1727.802556685952,1724.0493692455645,1717.4258864165467,1715.3018826654322,1715.6885541918784,1718.1586148585563,1722.3224101487233,1734.7761078432611,1750.288076107032,1765.9927893219567,1784.6844723503605,1810.3813852718322,1840.1158449700308,1874.6247294456373,1913.9065340450684,1961.7849527492629,2020.1003264635553,2080.7740779910014,2137.0354903788116,2180.781420613824,2224.6673756109653,2272.2616761867016,2317.8022142649156,2354.3113082385144,2389.5779520452857,2428.3761539217494,2465.24872632631,2489.4709489550546,2502.1367131236093,2506.9914848739163,2513.6512069933588,2519.888433702911,2528.0651613751775,2535.215438753592,2541.1688947892067,2545.8122202157056,2549.679219282772,2552.4025704996575,2555.981091111378,2557.934501590818,2558.1363649559976,2560.8126379131863,2564.677695001158,2574.7341839230003,2579.404464778009,2578.8073211910632,2580.057589337493,2585.4683050499953,2592.367627083943,2596.7318095120263,2598.5334170172714,2602.3807520029272,2607.5482191424235,2613.01223445892,2619.0097655823515,2621.4968327802267,2623.348122915299,2626.2095792289897,2630.200577463263,2632.4232933052285,2632.842542544179,2633.7326474877705,2635.3674653139783,2637.530144703839,2640.5124003322476,2642.6047004999286,2642.5766634503557,2641.8522756809425,2642.950763146035,2645.0859537905185,2645.0749176319114
394347,9,"Atlanta, GA",msa,GA,984.357284370028,988.737755769518,991.2967602450534,997.0695699930749,1000.8608459799931,1007.5203595702358,1011.3815203873181,1015.953024158686,1020.6755068722683,1025.7444457970935,1029.921471385657,1035.0366964936059,1040.0752867505366,1045.804833187327,1050.600500659,1053.6990966342566,1057.876657983632,1062.2231212936429,1068.692234502968,1074.6235051454578,1079.6235754824354,1085.1798619367225,1089.4025459688457,1093.8555522243205,1098.4834985300713,1104.6035514384087,1112.1819415112768,1119.2183556576867,1126.530505895464,1132.7392695996523,1139.9084439491494,1145.3646059061089,1152.2178628069253,1154.3504376677297,1160.4990962122542,1164.55653673073,1172.4056175353426,1178.0656844616963,1184.2009283015655,1190.3428548272234,1196.4343348525176,1201.9806354997058,1207.4463279413048,1212.062733741854,1216.3351330450535,1226.7487765148833,1236.3431343607633,1245.2262378976302,1250.2435955856927,1255.0942726064727,1260.304301822369,1265.986077402575,1271.3564695539746,1277.5494121803217,1282.828440032667,1289.6466041427143,1296.0453274244583,1299.6865985717975,1302.022859155182,1305.752477619013,1310.294261642294,1315.5416191807092,1322.2059078842274,1324.720249792035,1325.785255257137,1327.6982430531614,1335.432142044335,1343.8899027172058,1352.5378835071745,1362.8404826607336,1375.676378777713,1390.4169258752092,1408.429376590359,1427.2142934610795,1443.831083564928,1463.4205304606294,1485.50335528774,1515.3734796226138,1544.3146901067441,1576.855431110326,1606.4670733765254,1632.5135855252477,1651.1874633723319,1662.8350891712241,1671.1185317526738,1676.699679040231,1685.453543703265,1695.6131504505772,1709.3836522415293,1720.4669424424087,1730.5533410156136,1734.7638838959258,1736.5098960437974,1736.0587218658613,1737.8834381657161,1744.1081235703898,1746.504331156219,1748.7439336135333,1755.097784735508,1759.0042052928636,1760.3462189992943,1753.9308012763374,1750.6127293327138,1746.0674763843265,1743.2258472144335,1740.923430559106,1740.7889483681392,1741.9375616814825,1746.739794429925,1749.8238535605103,1749.2298785621535,1749.9759790481337,1751.4802902264503,1755.6340126192197,1755.9730589902556,1755.1468401868697,1756.614168829504,1759.4974625166822,1764.0613788764526,1767.769256301688,1772.9293016882173,1775.7542010095785,1778.6028648502283,1780.9427836086788,1782.913397912918,1786.6553743270804,1791.9791703295496,1799.6628883883247,1805.1814116615556,1809.7316971141101,1811.5850922196994,1812.7283726636317,1811.80359812764
